traveltime,studytime,freetime,goout,Dalc,Walc,absences,rating_G3,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,8,0,0.24,0.75,0.25,0.13,0.25,0.13,0.13,0.065719882,,1.42E-06
,,,,,,,,,16,1,0.47,0.75,0.25,0.38,0.38,0.19,0.13,0.0604766,,1.76E-05
,,,,,,,,,10,2,0.29,0.90,0.20,0.30,0.00,0.10,0.10,0.018921247,,0.00E+00
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,1,2,3,3,1,1,2,,
,,,,,,,,,8,0,0.24,0.75,0.63,0.50,0.25,0.88,0.63,0.052587138,,3.96E-04
,,,,,,,,,16,1,0.47,0.75,0.63,0.38,0.38,0.69,0.25,0.086934915,,4.64E-04
,,,,,,,,,10,2,0.29,0.90,0.60,0.10,0.00,0.90,0.70,0.124804478,,0.00E+00
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,1,1,4,1,1,1,0,,
,,,,,,,,,8,0,0.24,0.75,0.25,0.13,0.00,0.88,0.63,0.038488891,,0.00E+00
,,,,,,,,,16,1,0.47,0.75,0.25,0.38,0.00,0.69,0.25,0.0604766,,0.00E+00
,,,,,,,,,10,2,0.29,0.90,0.20,0.30,0.40,0.90,0.70,0.106649003,,4.27E-04
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,2,2,3,3,2,2,14,,
,,,,,,,,,8,0,0.24,0.25,0.63,0.50,0.25,0.13,0.13,0.028170286,,2.02E-06
,,,,,,,,,16,1,0.47,0.13,0.63,0.38,0.38,0.19,0.38,0.004768033,,1.73E-06
,,,,,,,,,10,2,0.29,0.10,0.60,0.10,0.00,0.10,0.10,8.35E-05,,0.00E+00
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,1,2,2,2,1,1,8,,
,,,,,,,,,8,0,0.24,0.75,0.63,0.13,0.25,0.88,0.63,0.065719882,,1.24E-04
,,,,,,,,,16,1,0.47,0.75,0.63,0.19,0.38,0.69,0.25,0.0604766,,1.61E-04
,,,,,,,,,10,2,0.29,0.90,0.60,0.30,0.50,0.90,0.70,0.018921247,,2.84E-04
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,1,2,3,5,1,4,12,,
,,,,,,,,,8,0,0.24,0.75,0.63,0.50,0.13,0.88,0.13,0.042078698,,3.17E-05
,,,,,,,,,16,1,0.47,0.75,0.63,0.38,0.06,0.69,0.13,0.014163151,,6.29E-06
,,,,,,,,,10,2,0.29,0.90,0.60,0.10,0.00,0.90,0.10,0.000753955,,0.00E+00
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,1,4,2,2,1,1,4,,
,,,,,,,,,8,0,0.24,0.75,0.00,0.13,0.25,0.88,0.63,0.063795172,,0.00E+00
,,,,,,,,,16,1,0.47,0.75,0.00,0.19,0.38,0.69,0.25,0.098113745,,0.00E+00
,,,,,,,,,10,2,0.29,0.90,0.00,0.30,0.50,0.90,0.70,0.098587105,,0.00E+00
