,traveltime,studytime,freetime,goout,Dalc,Walc,absences,rating_G3,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,1,2,5,1,1,1,0,,
,,,,,,,,,,0,0.21,0.71,0.43,0.29,0.14,0.29,0.14,0.02925098,,3.13E-06
,,,,,,,,,,1,0.47,0.81,0.56,0.00,0.13,0.19,0.06,0.040594733,,0.00E+00
,,,,,,,,,,2,0.32,0.82,0.45,0.18,0.27,0.09,0.09,0.122903323,,5.99E-06
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,1,2,3,3,1,2,0,,
,,,,,,,,,,0,0.21,0.71,0.43,0.29,0.14,0.29,0.14,0.02925098,,3.13E-06
,,,,,,,,,,1,0.47,0.81,0.56,0.50,0.38,0.19,0.25,0.040594733,,7.66E-05
,,,,,,,,,,2,0.32,0.82,0.45,0.18,0.36,0.09,0.00,0.122903323,,0.00E+00
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,3,3,2,2,1,1,4,,
,,,,,,,,,,0,0.21,0.00,0.14,0.29,0.43,0.29,0.14,0.03983463,,0.00E+00
,,,,,,,,,,1,0.47,0.06,0.13,0.13,0.31,0.19,0.06,0.04977097,,8.37E-08
,,,,,,,,,,2,0.32,0.18,0.18,0.18,0.27,0.09,0.09,0.173302862,,7.51E-07
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,1,1,3,3,1,3,2,,
,,,,,,,,,,0,0.21,0.71,0.43,0.29,0.14,0.29,0.14,0.03983463,,4.27E-06
,,,,,,,,,,1,0.47,0.81,0.31,0.50,0.38,0.19,0.06,0.04977097,,1.31E-05
,,,,,,,,,,2,0.32,0.82,0.27,0.18,0.36,0.09,0.09,0.173302862,,6.76E-06
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,2,2,4,3,1,2,2,,
,,,,,,,,,,0,0.21,0.29,0.43,0.14,0.14,0.29,0.14,0.03983463,,8.53E-07
,,,,,,,,,,1,0.47,0.13,0.56,0.31,0.38,0.19,0.25,0.04977097,,9.04E-06
,,,,,,,,,,2,0.32,0.18,0.45,0.45,0.36,0.09,0.00,0.173302862,,0.00E+00
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,1,3,5,2,1,1,0,,
,,,,,,,,,,0,0.21,0.71,0.14,0.29,0.43,0.29,0.14,0.02925098,,3.13E-06
,,,,,,,,,,1,0.47,0.81,0.13,0.00,0.31,0.19,0.06,0.040594733,,0.00E+00
,,,,,,,,,,2,0.32,0.82,0.18,0.18,0.27,0.09,0.09,0.122903323,,2.40E-06
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,traveltime,studytime,freetime,goout,Dalc,Walc,absences,,
,,,,,,,,,,,,1,1,4,4,1,2,4,,
,,,,,,,,,,0,0.21,0.71,0.43,0.14,0.14,0.29,0.14,0.03983463,,2.13E-06
,,,,,,,,,,1,0.47,0.81,0.31,0.31,0.06,0.19,0.25,0.04977097,,5.44E-06
,,,,,,,,,,2,0.32,0.82,0.27,0.45,0.09,0.09,0.00,0.173302862,,0.00E+00
